"generation","filename","format_version","saved_at_unix_seconds","saved_at_local","architecture","activations","genome_parameter_count","champion_training_fitness","population_average_fitness","average_useful_progress_speed_u_s","completion_rate","completion_rate_percent","completed","collision","stalled","timeout","training_tracks","validation_track","validation_score","validation_normalized_progress","validation_progress_percent","validation_useful_progress_speed_u_s","validation_elapsed_s","validation_finish_reason","maximum_episode_duration_s","stall_timeout_s","significant_progress_epsilon_u","progress_weight","speed_weight","collision_penalty","completion_bonus","progress_speed_normalization_u_s","training_track_selection"
"675","generation_000675_1787981421.ron","1","1787981421","2026-08-29 02:30:21 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.4182299","295.38467","1","100","3","0","0","0","interlagos;silverstone;monza","monaco","1.2865096","0.88650966","88.650966","267.59348","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"700","generation_000700_1787981862.ron","1","1787981862","2026-08-29 02:37:42 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6717533","1.321914","289.74826","0.6666667","66.66667","2","0","0","1","red_bull_ring;catalunya;interlagos","spa","1.8499999","1","100","266.49377","57.79929","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"725","generation_000725_1787982293.ron","1","1787982293","2026-08-29 02:44:53 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6912307","1.4239887","288.11664","0.6666667","66.66667","2","0","0","1","silverstone;monza;catalunya","spa","1.8499999","1","100","265.26993","58.065952","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"750","generation_000750_1787982726.ron","1","1787982726","2026-08-29 02:52:06 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.388501","291.03458","1","100","3","0","0","0","interlagos;silverstone;red_bull_ring","monaco","1.2927963","0.8927962","89.27962","269.49106","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"775","generation_000775_1787983164.ron","1","1787983164","2026-08-29 02:59:24 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6891311","1.3826468","284.3253","0.6666667","66.66667","2","0","0","1","red_bull_ring;silverstone;catalunya","suzuka","1.8499999","1","100","253.6832","52.8327","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"800","generation_000800_1787983596.ron","1","1787983596","2026-08-29 03:06:36 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.4829286","296.38354","1","100","3","0","0","0","monza;interlagos;silverstone","suzuka","1.8499999","1","100","256.43356","52.26604","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"825","generation_000825_1787984026.ron","1","1787984026","2026-08-29 03:13:46 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6916641","1.444949","286.2062","0.6666667","66.66667","2","0","0","1","monza;catalunya;silverstone","monaco","1.276881","0.876881","87.6881","264.68704","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"850","generation_000850_1787984452.ron","1","1787984452","2026-08-29 03:20:52 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5475739","280.2194","1","100","3","0","0","0","monza;silverstone;red_bull_ring","spa","1.8499999","1","100","257.15097","59.899258","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"875","generation_000875_1787984874.ron","1","1787984874","2026-08-29 03:27:54 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6909596","1.4393888","300.44302","0.6666667","66.66667","2","0","0","1","monza;interlagos;catalunya","suzuka","1.8499999","1","100","255.29387","52.49937","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"900","generation_000900_1787985303.ron","1","1787985303","2026-08-29 03:35:03 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6910616","1.2274507","288.2773","0.6666667","66.66667","2","0","0","1","catalunya;silverstone;interlagos","spa","1.8499999","1","100","270.23404","56.999302","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"925","generation_000925_1787985732.ron","1","1787985732","2026-08-29 03:42:12 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.4972094","295.72906","1","100","3","0","0","0","monza;interlagos;silverstone","spa","1.8499999","1","100","272.30417","56.565975","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"950","generation_000950_1787986152.ron","1","1787986152","2026-08-29 03:49:12 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6915736","1.4098912","300.58185","0.6666667","66.66667","2","0","0","1","catalunya;interlagos;monza","suzuka","1.8499999","1","100","255.37494","52.482704","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"975","generation_000975_1787986579.ron","1","1787986579","2026-08-29 03:56:19 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6949326","1.4742503","298.7502","0.6666667","66.66667","2","0","0","1","monza;red_bull_ring;catalunya","suzuka","1.8499999","1","100","256.02536","52.349373","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1000","generation_001000_1787987006.ron","1","1787987006","2026-08-29 04:03:26 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.69335","1.44454","288.98404","0.6666667","66.66667","2","0","0","1","monza;silverstone;catalunya","spa","1.8499999","1","100","268.03955","57.46596","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1025","generation_001025_1787987430.ron","1","1787987430","2026-08-29 04:10:30 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5003301","294.78857","1","100","3","0","0","0","monza;interlagos;silverstone","spa","1.8499999","1","100","271.02652","56.832638","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1050","generation_001050_1787987861.ron","1","1787987861","2026-08-29 04:17:41 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6936203","1.3658873","289.39783","0.6666667","66.66667","2","0","0","1","silverstone;interlagos;catalunya","suzuka","1.8499999","1","100","255.9439","52.36604","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1075","generation_001075_1787988277.ron","1","1787988277","2026-08-29 04:24:37 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.694836","1.4524354","302.40573","0.6666667","66.66667","2","0","0","1","interlagos;monza;catalunya","spa","1.8499999","1","100","270.0761","57.032635","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1100","generation_001100_1787988694.ron","1","1787988694","2026-08-29 04:31:34 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6951195","1.4411215","302.2438","0.6666667","66.66667","2","0","0","1","interlagos;catalunya;monza","spa","1.8499999","1","100","269.91833","57.065968","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1125","generation_001125_1787989111.ron","1","1787989111","2026-08-29 04:38:31 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6960249","1.5552323","300.53735","0.6666667","66.66667","2","0","0","1","red_bull_ring;monza;catalunya","spa","1.8499999","1","100","269.6034","57.132633","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1150","generation_001150_1787989529.ron","1","1787989529","2026-08-29 04:45:29 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.695889","1.4924084","302.4034","0.6666667","66.66667","2","0","0","1","monza;catalunya;interlagos","spa","1.8499999","1","100","269.4462","57.165966","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1175","generation_001175_1787989943.ron","1","1787989943","2026-08-29 04:52:23 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.6138132","291.21518","1","100","3","0","0","0","monza;silverstone;red_bull_ring","monaco","1.2872915","0.8872915","88.72915","267.82947","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1200","generation_001200_1787990366.ron","1","1787990366","2026-08-29 04:59:26 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6962872","1.4513606","302.17255","0.6666667","66.66667","2","0","0","1","catalunya;interlagos;monza","monaco","1.2934141","0.89341414","89.341414","269.67758","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1225","generation_001225_1787990781.ron","1","1787990781","2026-08-29 05:06:21 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.4694823","293.19693","1","100","3","0","0","0","silverstone;red_bull_ring;interlagos","suzuka","1.8499999","1","100","256.1069","52.332706","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1250","generation_001250_1787991199.ron","1","1787991199","2026-08-29 05:13:19 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.6333568","291.50323","1","100","3","0","0","0","silverstone;red_bull_ring;monza","monaco","1.2939298","0.89392984","89.392984","269.83325","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1275","generation_001275_1787991622.ron","1","1787991622","2026-08-29 05:20:22 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.696895","1.396229","299.1089","0.6666667","66.66667","2","0","0","1","red_bull_ring;interlagos;catalunya","suzuka","1.8499999","1","100","256.02536","52.349373","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1300","generation_001300_1787992044.ron","1","1787992044","2026-08-29 05:27:24 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.4250243","293.5015","1","100","3","0","0","0","red_bull_ring;interlagos;silverstone","spa","1.8499999","1","100","272.6255","56.49931","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1325","generation_001325_1787992460.ron","1","1787992460","2026-08-29 05:34:20 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5660323","290.1918","1","100","3","0","0","0","monza;silverstone;red_bull_ring","suzuka","1.8499999","1","100","254.24461","52.716034","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1350","generation_001350_1787992880.ron","1","1787992880","2026-08-29 05:41:20 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.4108618","294.48364","1","100","3","0","0","0","silverstone;red_bull_ring;interlagos","monaco","1.2985802","0.8985802","89.85802","271.23697","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1375","generation_001375_1787993296.ron","1","1787993296","2026-08-29 05:48:16 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.696907","1.5000651","299.77457","0.6666667","66.66667","2","0","0","1","monza;red_bull_ring;catalunya","monaco","1.2936573","0.89365727","89.365727","269.75098","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1400","generation_001400_1787993714.ron","1","1787993714","2026-08-29 05:55:14 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6969223","1.4748648","289.69662","0.6666667","66.66667","2","0","0","1","silverstone;monza;catalunya","suzuka","1.8499999","1","100","255.53725","52.44937","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1425","generation_001425_1787994137.ron","1","1787994137","2026-08-29 06:02:17 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.696907","1.4333268","287.23364","0.6666667","66.66667","2","0","0","1","catalunya;silverstone;red_bull_ring","spa","1.8499999","1","100","268.97568","57.265965","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1450","generation_001450_1787994554.ron","1","1787994554","2026-08-29 06:09:14 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.6379591","290.7928","1","100","3","0","0","0","silverstone;red_bull_ring;monza","monaco","1.2859842","0.8859841","88.59841","267.43484","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1475","generation_001475_1787994967.ron","1","1787994967","2026-08-29 06:16:07 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.7020305","291.0359","1","100","3","0","0","0","red_bull_ring;monza;silverstone","suzuka","1.8499999","1","100","255.37494","52.482704","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1500","generation_001500_1787995384.ron","1","1787995384","2026-08-29 06:23:04 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6970764","1.4574487","302.55197","0.6666667","66.66667","2","0","0","1","catalunya;interlagos;monza","suzuka","1.8499999","1","100","255.9439","52.36604","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1525","generation_001525_1787995796.ron","1","1787995796","2026-08-29 06:29:56 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6972576","1.482087","290.69144","0.6666667","66.66667","2","0","0","1","monza;silverstone;catalunya","spa","1.8499999","1","100","268.3509","57.399296","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1550","generation_001550_1787996211.ron","1","1787996211","2026-08-29 06:36:51 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.4968286","293.8662","1","100","3","0","0","0","red_bull_ring;interlagos;silverstone","suzuka","1.8499999","1","100","256.43356","52.26604","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1575","generation_001575_1787996630.ron","1","1787996630","2026-08-29 06:43:50 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6970881","1.5404233","299.92258","0.6666667","66.66667","2","0","0","1","red_bull_ring;catalunya;monza","suzuka","1.8499999","1","100","255.78107","52.399372","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1600","generation_001600_1787997049.ron","1","1787997049","2026-08-29 06:50:49 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.6144975","293.2465","1","100","3","0","0","0","silverstone;monza;red_bull_ring","spa","1.8499999","1","100","272.30417","56.565975","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1625","generation_001625_1787997464.ron","1","1787997464","2026-08-29 06:57:44 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6970881","1.4931266","290.34155","0.6666667","66.66667","2","0","0","1","silverstone;catalunya;monza","suzuka","1.8499999","1","100","255.78107","52.399372","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1650","generation_001650_1787997877.ron","1","1787997877","2026-08-29 07:04:37 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5563666","297.00027","1","100","3","0","0","0","interlagos;monza;silverstone","spa","1.8499999","1","100","273.10886","56.39931","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1675","generation_001675_1787998300.ron","1","1787998300","2026-08-29 07:11:40 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5389926","293.2511","1","100","3","0","0","0","interlagos;monza;silverstone","spa","1.8499999","1","100","267.57394","57.56596","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1700","generation_001700_1787998718.ron","1","1787998718","2026-08-29 07:18:38 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.697847","1.431266","299.62164","0.6666667","66.66667","2","0","0","1","red_bull_ring;catalunya;interlagos","suzuka","1.8499999","1","100","256.59723","52.232708","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1725","generation_001725_1787999139.ron","1","1787999139","2026-08-29 07:25:39 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6972772","1.4728653","302.45456","0.6666667","66.66667","2","0","0","1","interlagos;catalunya;monza","monaco","1.2921222","0.89212227","89.212227","269.28763","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1750","generation_001750_1787999556.ron","1","1787999556","2026-08-29 07:32:36 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.4816575","292.01492","1","100","3","0","0","0","red_bull_ring;silverstone;interlagos","monaco","1.2951945","0.89519453","89.519453","270.215","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1775","generation_001775_1787999976.ron","1","1787999976","2026-08-29 07:39:36 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.555103","296.7645","1","100","3","0","0","0","interlagos;monza;silverstone","spa","1.8499999","1","100","271.3448","56.765972","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1800","generation_001800_1788000409.ron","1","1788000409","2026-08-29 07:46:49 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6972772","1.3365387","289.80835","0.6666667","66.66667","2","0","0","1","catalunya;interlagos;silverstone","monaco","1.2921222","0.89212227","89.212227","269.28763","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1825","generation_001825_1788000846.ron","1","1788000846","2026-08-29 07:54:06 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.4875649","293.33673","1","100","3","0","0","0","interlagos;silverstone;red_bull_ring","suzuka","1.8499999","1","100","256.1069","52.332706","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1850","generation_001850_1788001273.ron","1","1788001273","2026-08-29 08:01:13 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5475444","299.08176","1","100","3","0","0","0","interlagos;monza;silverstone","spa","1.8499999","1","100","274.16208","56.182648","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1875","generation_001875_1788001690.ron","1","1788001690","2026-08-29 08:08:10 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6972772","1.4735473","302.45456","0.6666667","66.66667","2","0","0","1","interlagos;catalunya;monza","suzuka","1.8499999","1","100","255.86246","52.382706","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1900","generation_001900_1788002111.ron","1","1788002111","2026-08-29 08:15:11 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6973372","1.4292794","287.21503","0.6666667","66.66667","2","0","0","1","red_bull_ring;catalunya;silverstone","monaco","1.2907375","0.89073753","89.073753","268.86966","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1925","generation_001925_1788002525.ron","1","1788002525","2026-08-29 08:22:05 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6972913","1.4848005","290.4107","0.6666667","66.66667","2","0","0","1","monza;catalunya;silverstone","spa","1.8499999","1","100","268.4288","57.38263","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1950","generation_001950_1788002944.ron","1","1788002944","2026-08-29 08:29:04 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6972913","1.4841826","287.41068","0.6666667","66.66667","2","0","0","1","silverstone;red_bull_ring;catalunya","suzuka","1.8499999","1","100","255.9439","52.36604","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"1975","generation_001975_1788003367.ron","1","1788003367","2026-08-29 08:36:07 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6972913","1.4891497","287.41068","0.6666667","66.66667","2","0","0","1","silverstone;catalunya;red_bull_ring","spa","1.8499999","1","100","268.4288","57.38263","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2000","generation_002000_1788003795.ron","1","1788003795","2026-08-29 08:43:15 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6973906","1.4101489","299.52917","0.6666667","66.66667","2","0","0","1","catalunya;interlagos;red_bull_ring","monaco","1.2924395","0.8924395","89.24395","269.3834","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2025","generation_002025_1788004209.ron","1","1788004209","2026-08-29 08:50:09 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.4680195","292.67007","1","100","3","0","0","0","interlagos;silverstone;red_bull_ring","suzuka","1.8499999","1","100","256.1885","52.31604","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2050","generation_002050_1788004627.ron","1","1788004627","2026-08-29 08:57:07 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6973906","1.3487883","290.0586","0.6666667","66.66667","2","0","0","1","interlagos;catalunya;silverstone","suzuka","1.8499999","1","100","255.78107","52.399372","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2075","generation_002075_1788005044.ron","1","1788005044","2026-08-29 09:04:04 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6973906","1.4248894","299.52917","0.6666667","66.66667","2","0","0","1","catalunya;red_bull_ring;interlagos","suzuka","1.8499999","1","100","255.78107","52.399372","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2100","generation_002100_1788005466.ron","1","1788005466","2026-08-29 09:11:06 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6980056","1.5337267","299.84586","0.6666667","66.66667","2","0","0","1","red_bull_ring;catalunya;monza","monaco","1.288647","0.8886471","88.86471","268.23865","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2125","generation_002125_1788005882.ron","1","1788005882","2026-08-29 09:18:02 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6973906","1.4393885","287.46664","0.6666667","66.66667","2","0","0","1","red_bull_ring;catalunya;silverstone","monaco","1.2924395","0.8924395","89.24395","269.3834","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2150","generation_002150_1788006298.ron","1","1788006298","2026-08-29 09:24:58 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5490211","292.5985","1","100","3","0","0","0","silverstone;interlagos;red_bull_ring","monaco","1.2908515","0.89085144","89.085144","268.90402","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2175","generation_002175_1788006714.ron","1","1788006714","2026-08-29 09:31:54 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6973906","1.4824721","290.5546","0.6666667","66.66667","2","0","0","1","silverstone;monza;catalunya","spa","1.8499999","1","100","268.8974","57.28263","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2200","generation_002200_1788007134.ron","1","1788007134","2026-08-29 09:38:54 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6973906","1.4942583","290.5546","0.6666667","66.66667","2","0","0","1","silverstone;monza;catalunya","monaco","1.2924395","0.8924395","89.24395","269.3834","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2225","generation_002225_1788007553.ron","1","1788007553","2026-08-29 09:45:53 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.585336","307.84515","1","100","3","0","0","0","red_bull_ring;interlagos;monza","monaco","1.2990172","0.8990172","89.90172","271.3689","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2250","generation_002250_1788007972.ron","1","1788007972","2026-08-29 09:52:52 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6973906","1.4475831","287.4666","0.6666667","66.66667","2","0","0","1","silverstone;red_bull_ring;catalunya","monaco","1.2924395","0.8924395","89.24395","269.3834","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2275","generation_002275_1788008397.ron","1","1788008397","2026-08-29 09:59:57 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6974664","1.3700525","289.97183","0.6666667","66.66667","2","0","0","1","silverstone;interlagos;catalunya","spa","1.8499999","1","100","268.6629","57.33263","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2300","generation_002300_1788008815.ron","1","1788008815","2026-08-29 10:06:55 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5928161","304.60135","1","100","3","0","0","0","monza;red_bull_ring;interlagos","spa","1.8499999","1","100","269.83954","57.082634","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2325","generation_002325_1788009232.ron","1","1788009232","2026-08-29 10:13:52 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.6466736","284.60156","1","100","3","0","0","0","monza;red_bull_ring;silverstone","suzuka","1.8499999","1","100","247.59106","54.13268","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2350","generation_002350_1788009652.ron","1","1788009652","2026-08-29 10:20:52 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6975945","1.5120456","289.40033","0.6666667","66.66667","2","0","0","1","catalunya;monza;silverstone","monaco","1.2828066","0.88280666","88.280666","266.4757","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2375","generation_002375_1788010084.ron","1","1788010084","2026-08-29 10:28:04 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6974664","1.5400875","299.94724","0.6666667","66.66667","2","0","0","1","red_bull_ring;monza;catalunya","spa","1.8499999","1","100","268.6629","57.33263","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2400","generation_002400_1788010511.ron","1","1788010511","2026-08-29 10:35:11 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6975483","1.4212081","299.42847","0.6666667","66.66667","2","0","0","1","red_bull_ring;interlagos;catalunya","monaco","1.2912989","0.8912989","89.12989","269.0391","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2425","generation_002425_1788010939.ron","1","1788010939","2026-08-29 10:42:19 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5813972","305.50455","1","100","3","0","0","0","interlagos;monza;red_bull_ring","spa","1.8499999","1","100","271.18555","56.799305","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2450","generation_002450_1788011363.ron","1","1788011363","2026-08-29 10:49:23 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6978945","1.5313469","300.63022","0.6666667","66.66667","2","0","0","1","monza;catalunya;red_bull_ring","monaco","1.2935756","0.89357567","89.357567","269.72635","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
