"generation","filename","format_version","saved_at_unix_seconds","saved_at_local","architecture","activations","genome_parameter_count","champion_training_fitness","population_average_fitness","average_useful_progress_speed_u_s","completion_rate","completion_rate_percent","completed","collision","stalled","timeout","training_tracks","validation_track","validation_score","validation_normalized_progress","validation_progress_percent","validation_useful_progress_speed_u_s","validation_elapsed_s","validation_finish_reason","maximum_episode_duration_s","stall_timeout_s","significant_progress_epsilon_u","progress_weight","speed_weight","collision_penalty","completion_bonus","progress_speed_normalization_u_s","training_track_selection"
"2875","generation_002875_1788018525.ron","1","1788018525","2026-08-29 12:48:45 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6976 199","1.3735591","289.89227","0.6666667","66.66667","2","0","0","1","interlagos;catalunya;silverstone","monaco","1.2918837","0.8918837","89.18837","269.2156","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2900","generation_002900_1788018949.ron","1","1788018949","2026-08-29 12:55:49 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6976199","1.4917401","290.31595","0.6666667","66.66667","2","0","0","1","silverstone;catalunya;monza","suzuka","1.8499999","1","100","255.61847","52.432705","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2925","generation_002925_1788019372.ron","1","1788019372","2026-08-29 13:02:52 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6977025","1.4722195","302.71982","0.6666667","66.66667","2","0","0","1","interlagos;catalunya;monza","suzuka","1.8499999","1","100","255.69974","52.41604","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2950","generation_002950_1788019793.ron","1","1788019793","2026-08-29 13:09:53 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6976992","1.3975146","299.56754","0.6666667","66.66667","2","0","0","1","interlagos;red_bull_ring;catalunya","suzuka","1.8499999","1","100","255.69974","52.41604","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"2975","generation_002975_1788020218.ron","1","1788020218","2026-08-29 13:16:58 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5244074","292.57816","1","100","3","0","0","0","silverstone;interlagos;red_bull_ring","spa","1.8499999","1","100","271.4245","56.749306","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"3000","generation_003000_1788020640.ron","1","1788020640","2026-08-29 13:24:00 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5489558","294.3635","1","100","3","0","0","0","interlagos;silverstone;monza","monaco","1.2870742","0.8870742","88.70742","267.7639","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"3025","generation_003025_1788021069.ron","1","1788021069","2026-08-29 13:31:09 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5071452","291.38885","1","100","3","0","0","0","interlagos;red_bull_ring;silverstone","monaco","1.2831904","0.8831904","88.31904","266.59155","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"3050","generation_003050_1788021486.ron","1","1788021486","2026-08-29 13:38:06 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6980673","1.5554318","300.96716","0.6666667","66.66667","2","0","0","1","red_bull_ring;monza;catalunya","suzuka","1.8499999","1","100","255.9439","52.36604","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"3075","generation_003075_1788021914.ron","1","1788021914","2026-08-29 13:45:14 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5874909","304.16638","1","100","3","0","0","0","monza;red_bull_ring;interlagos","spa","1.8499999","1","100","268.97568","57.265965","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"3100","generation_003100_1788022332.ron","1","1788022332","2026-08-29 13:52:12 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5413258","294.86255","1","100","3","0","0","0","silverstone;interlagos;monza","suzuka","1.8499999","1","100","256.43356","52.26604","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"3125","generation_003125_1788022762.ron","1","1788022762","2026-08-29 13:59:22 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6980673","1.3695965","290.28824","0.6666667","66.66667","2","0","0","1","catalunya;silverstone;interlagos","monaco","1.2918211","0.89182115","89.182115","269.19675","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"3150","generation_003150_1788023813.ron","1","1788023813","2026-08-29 14:16:53 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5456749","294.14966","1","100","3","0","0","0","monza;interlagos;silverstone","suzuka","1.8499999","1","100","255.86246","52.382706","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"3175","generation_003175_1788029395.ron","1","1788029395","2026-08-29 15:49:55 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.4738401","289.7344","1","100","3","0","0","0","silverstone;red_bull_ring;interlagos","suzuka","1.8499999","1","100","255.86246","52.382706","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"3200","generation_003200_1788035073.ron","1","1788035073","2026-08-29 17:24:33 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.8499999","1.5099801","293.64175","1","100","3","0","0","0","interlagos;monza;silverstone","spa","1.8499999","1","100","268.58484","57.349297","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
